,text_agent,category_agent,sub-category_agent,speaker_customer,text_customer,clean _text_custumer,cleaned_text_of_custumer_for_clusters,cluster_for_custumer,clean_text_agent_corpus
1057,may i have your full name or account id?,account_access,reset_2fa,customer, alessandro phoenix acoount id: we4889903,alessandro phoenix acoount id we4889903,alessandro phoenix acoount id we4889903,220,may i have your full name or account id
1058,"ok i have pulled up your account, can you give me an email address?",account_access,reset_2fa,customer,username: <username>,username username,username username,6,ok i have pulled up your account can you give me an email address
1059,i am going to send a reset code to that email address.,account_access,reset_2fa,customer,email address: <email>,email address email,email address email,1,i am going to send a reset code to that email address
1060,"also for the future, i am including a link that will keep you informed on best practices for security in the future.",account_access,reset_2fa,customer,order id: <order_id>,order id order_id,order id order_id,124,also for the future i am including a link that will keep you informed on best practices for security in the future
1061,the reset code will give you access to your account and you can make all the changes you need from there.,account_access,reset_2fa,customer,welcome,welcome,welcome,257,the reset code will give you access to your account and you can make all the changes you need from there
1062,you are most welcome!  is there anything else i can help you with today?,account_access,reset_2fa,customer,hello,hello,hello,23,you are most welcome is there anything else i can help you with today
1063,"fantastic, well you have a great rest of your day!",account_access,reset_2fa,customer,do you know hoe long it will be before it hit my account?,do you know hoe long it will be before it hit my account,do you know hoe long it will be before it hit my account,380,fantastic well you have a great rest of your day
1064,welcome! how may i help?,shipping_issue,status,customer,"okay, thank you for your help",okay thank you for your help,okay thank you for your help,326,welcome how may i help
1065,"you know, that happens sometimes. let me check for you.",shipping_issue,status,customer,no that will be all,no that will be all,no that will be all,126,you know that happens sometimes let me check for you
1066,what is your name please?,shipping_issue,status,customer,hello,hello,hello,23,what is your name please
1067,can i have your account & order ids please,shipping_issue,status,customer,i was wondering if you could explain the difference in membership levels for me,i was wondering if you could explain the difference in membership levels for me,i was wondering if you could explain the difference in membership levels for me,221,can i have your account & order ids please
1068,ok let me check the order now that the system has found your account.,shipping_issue,status,customer,crystal minh,crystal minh,crystal minh,35,ok let me check the order now that the system has found your account
1069,what is your username & email please,shipping_issue,status,customer,"oh great, thanks",oh great thanks,oh great thanks,248,what is your username & email please
1070,"ok, as i suspected, that email was nonsense, and your order should arrive as expected",shipping_issue,status,customer,"that's all, thanks",thats all thanks,thats all thanks,233,ok as i suspected that email was nonsense and your order should arrive as expected
1071,sorry about that,shipping_issue,status,customer,you too,you too,you too,30,sorry about that
1072,is there anything else?,shipping_issue,status,customer,hi,hi,hi,84,is there anything else
1073,no problem,shipping_issue,status,customer,i need to order a pair of boots,i need to order a pair of boots,i need to order a pair of boots,160,no problem
1074,good that you checked,shipping_issue,status,customer,i got a pair from yu guys and i need to return them and get a new pair,i got a pair from yu guys and i need to return them and get a new pair,i got a pair from yu guys and i need to return them and get a new pair,217,good that you checked
1075,if there is nothing else?,shipping_issue,status,customer,so i need help with this returnt first,so i need help with this returnt first,so i need help with this returnt first,333,if there is nothing else
1076,have a good day,shipping_issue,status,customer,rodriguez domingo,rodriguez domingo,rodriguez domingo,29,have a good day
1077,"hello, how can i help you",troubleshoot_site,shopping_cart,customer,they are not what i thought they would be so i need a new styling,they are not what i thought they would be so i need a new styling,they are not what i thought they would be so i need a new styling,370,hello how can i help you
1078,i will be happy to help you with that. first try to refresh the page and try to add it again,troubleshoot_site,shopping_cart,customer,<email>,email,email,43,i will be happy to help you with that first try to refresh the page and try to add it again
1079,"okay, now try to log out and back in and try again",troubleshoot_site,shopping_cart,customer,<order_id>,order_id,order_id,3,okay now try to log out and back in and try again
1080,glad to hear! do you need anymore help?,troubleshoot_site,shopping_cart,customer,thats my order id,thats my order id,thats my order id,108,glad to hear do you need anymore help
1081,have a great day,troubleshoot_site,shopping_cart,customer,yes,yes,yes,183,have a great day
1082,hi! how can i help you today?,purchase_dispute,bad_price_yesterday,customer,bronze,bronze,bronze,18,hi how can i help you today
1083,oh no!,purchase_dispute,bad_price_yesterday,customer,sorry internet issues,sorry internet issues,sorry internet issues,301,oh no
1084,i am so sorry about this,purchase_dispute,bad_price_yesterday,customer, 2019-10-18, 10 18, 10 18,293,i am so sorry about this
1085,what is your full name or account id?,purchase_dispute,bad_price_yesterday,customer,hey i wanted to change the name in my account,hey i wanted to change the name in my account,hey i wanted to change the name in my account,351,what is your full name or account id
1086,"haha, i bet.",purchase_dispute,bad_price_yesterday,customer,it is spelled wrong,it is spelled wrong,it is spelled wrong,285,haha i bet
1087,"what is your account id and order id, so i can verify your identity?",purchase_dispute,bad_price_yesterday,customer,is it possible,is it possible,is it possible,110,what is your account id and order id so i can verify your identity
1088,fantastic.,purchase_dispute,bad_price_yesterday,customer,i don’t have that can i give you the userid,i dont have that can i give you the userid,i dont have that can i give you the userid,392,fantastic
1089,"unfortunately, we use a algorithm that dynamically changes the price all the time and it is out of my control.",purchase_dispute,bad_price_yesterday,customer,<username>,username,username,305,unfortunately we use a algorithm that dynamically changes the price all the time and it is out of my control
1090,i am so sorry about this.,purchase_dispute,bad_price_yesterday,customer,ok,ok,ok,52,i am so sorry about this
1091,"unfortunately, no we do not.",purchase_dispute,bad_price_yesterday,customer,my name is alessandro phoenx,my name is alessandro phoenx,my name is alessandro phoenx,220,unfortunately no we do not
1092,well.. a lot could.. i am willing to offer you a promo code so you don't have to get that surgery?,purchase_dispute,bad_price_yesterday,customer,pin number: <pin_number>,pin number pin_number,pin number pin_number,173,well a lot could i am willing to offer you a promo code so you dont have to get that surgery
1093,i am so glad!! your promo code is f4fdo,purchase_dispute,bad_price_yesterday,customer,this is how it appears on my ac. right now alessandro phoenix,this is how it appears on my ac right now alessandro phoenix,this is how it appears on my ac right now alessandro phoenix,220,i am so glad your promo code is f4fdo
1094,great! is there anything else i can do for you today?,purchase_dispute,bad_price_yesterday,customer,alessandro phoenx,alessandro phoenx,alessandro phoenx,32,great is there anything else i can do for you today
1095,you have a good day now!,purchase_dispute,bad_price_yesterday,customer,ok thank you,ok thank you,ok thank you,339,you have a good day now
1096,"hello, thank you for contacting us today!",order_issue,manage_downgrade,customer,yeap thanks,yeap thanks,yeap thanks,339,hello thank you for contacting us today
1097,how may i help you?,order_issue,manage_downgrade,customer,i need to check my shipping status,i need to check my shipping status,i need to check my shipping status,89,how may i help you
1098,i should be able to help you with that. let's see what we can do.,order_issue,manage_downgrade,customer,i never got my package,i never got my package,i never got my package,59,i should be able to help you with that lets see what we can do
1099,could you provide me with your full name please?,order_issue,manage_downgrade,customer,name: crystal minh,name crystal minh,name crystal minh,35,could you provide me with your full name please
1100,thank you sanya. i was able to pull up your account.,order_issue,manage_downgrade,customer,three,three,three,10,thank you sanya i was able to pull up your account
1101,could you also provide me with your account id and order id so i can look up the order?,order_issue,manage_downgrade,customer,username: <username>,username username,username username,6,could you also provide me with your account id and order id so i can look up the order
1102,great. i was able to find it.,order_issue,manage_downgrade,customer,email address: <email>,email address email,email address email,1,great i was able to find it
1103,next could you tell me the shipping status?,order_issue,manage_downgrade,customer,order id: <order_id>,order id order_id,order id order_id,124,next could you tell me the shipping status
1104,"nono, i wouldn't want you to do that. out for delivery is too late to delay but let's see what else we might be able to do.",order_issue,manage_downgrade,customer,okay,okay,okay,262,nono i wouldnt want you to do that out for delivery is too late to delay but lets see what else we might be able to do
1105,what is your membership level?,order_issue,manage_downgrade,customer,no,no,no,167,what is your membership level
1106,great!,order_issue,manage_downgrade,customer,hi there. i'm trying to order something but your website is running extremely slow right now,hi there im trying to order something but your website is running extremely slow right now,hi there im trying to order something but your website is running extremely slow right now,260,great
1107,i'm actually going to refund you the full shipping amount.,order_issue,manage_downgrade,customer,i literally can't do anything on the site,i literally cant do anything on the site,i literally cant do anything on the site,155,im actually going to refund you the full shipping amount
1108,thank you so much for being a gold member!,order_issue,manage_downgrade,customer,"sure, i will try, give me a second",sure i will try give me a second,sure i will try give me a second,282,thank you so much for being a gold member
1109,alright all set. was there anything else i could help you with?,order_issue,manage_downgrade,customer,ok thanks.,ok thanks,ok thanks,257,alright all set was there anything else i could help you with
1110,thank you for shipping with us. have a great day!,order_issue,manage_downgrade,customer,so i logged out and logged back in and it's still slow as heck.,so i logged out and logged back in and its still slow as heck,so i logged out and logged back in and its still slow as heck,63,thank you for shipping with us have a great day
1111,"hello, how may i help you?",shipping_issue,cost,customer,ok hold on.,ok hold on,ok hold on,112,hello how may i help you
1112,"i'm sorry about that, could i have your name and we can look up the order?",shipping_issue,cost,customer,"nope, still slow.",nope still slow,nope still slow,90,im sorry about that could i have your name and we can look up the order
1113,"thanks, rodriguez. i'll also need your order id.",shipping_issue,cost,customer,maybe it's my internet!,maybe its my internet,maybe its my internet,301,thanks rodriguez ill also need your order id
1114,"excuse mr, i mean email.",shipping_issue,cost,customer,yes,yes,yes,183,excuse mr i mean email
1115,"thanks, and now i'll just need your username.",shipping_issue,cost,customer,i'll restart my router.,ill restart my router,ill restart my router,76,thanks and now ill just need your username
1116,"thank you, do you know the shipping status of the order?",shipping_issue,cost,customer,"nope that's it, thanks!",nope thats it thanks,nope thats it thanks,313,thank you do you know the shipping status of the order
1117,i can refund part of the shipping fee ($8) for you.would that be alright?,shipping_issue,cost,customer,can you tell me some details about a product?,can you tell me some details about a product,can you tell me some details about a product,418,i can refund part of the shipping fee 8 for youwould that be alright
1118,"okay, your refund has been sent. is there anything else i can do for you?",shipping_issue,cost,customer,michael kors jeans,michael kors jeans,michael kors jeans,101,okay your refund has been sent is there anything else i can do for you
1119,have a good day!,shipping_issue,cost,customer,do they shrink?,do they shrink,do they shrink,171,have a good day
1120,how may i help you,single_item_query,jeans_other_3,customer,that's great to know. thank yo.,thats great to know thank yo,thats great to know thank yo,369,how may i help you
1121,what product would you like to know more about,single_item_query,jeans_other_3,customer,no thanks1,no thanks1,no thanks1,88,what product would you like to know more about
1122,"ok, i can help you with that today",single_item_query,jeans_other_3,customer,hi there,hi there,hi there,84,ok i can help you with that today
1123,"have you checked to see if the item is in stock, and it said out of stock?",single_item_query,jeans_other_3,customer,i need to make a return i got a size to big,i need to make a return i got a size to big,i need to make a return i got a size to big,11,have you checked to see if the item is in stock and it said out of stock
1124,i see,single_item_query,jeans_other_3,customer,albert sanders,albert sanders,albert sanders,211,i see
1125,can i get your full name please,single_item_query,jeans_other_3,customer,<username>,username,username,305,can i get your full name please
1126,i will write a report to our internal team to make sure they keep up with demand in the future,single_item_query,jeans_other_3,customer,<email>,email,email,43,i will write a report to our internal team to make sure they keep up with demand in the future
1127,i do apologize for the stocking issue,single_item_query,jeans_other_3,customer,<order_id>,order_id,order_id,3,i do apologize for the stocking issue
1128,is there anything else i can help with today,single_item_query,jeans_other_3,customer,gold,gold,gold,69,is there anything else i can help with today
1129,you too,single_item_query,jeans_other_3,customer,"<street_address>  baltimore, tx 7427",street_address baltimore tx,street_address baltimore tx,125,you too
1130,how can i help you?,product_defect,refund_status,customer,mail would be best,mail would be best,mail would be best,363,how can i help you
1131,"sure, can i have your name and account number?",product_defect,refund_status,customer,no thanks,no thanks,no thanks,88,sure can i have your name and account number
1132,"thank you mr. phoenix, can i please have your username, email address and order number?",product_defect,refund_status,customer,i have to remove a second item from my order please,i have to remove a second item from my order please,i have to remove a second item from my order please,395,thank you mr phoenix can i please have your username email address and order number
1133,"thanks, so much.",product_defect,refund_status,customer,my husband doesn;t want it anymore,my husband doesnt want it anymore,my husband doesnt want it anymore,358,thanks so much
1134,i see that your refund is in progress.,product_defect,refund_status,customer,joseph banter,joseph banter,joseph banter,42,i see that your refund is in progress
1135,you should see the refund in 24 hours.,product_defect,refund_status,customer,account id: <account_id>,account id account_id,account id account_id,7,you should see the refund in hours
1136,you're welcome. is there anything else?,product_defect,refund_status,customer,order id: <order_id>,order id order_id,order id order_id,124,youre welcome is there anything else
1137,"hello, how may i help you?",storewide_query,membership_1,customer,yes please,yes please,yes please,117,hello how may i help you
1138,"sure, could i get your name?",storewide_query,membership_1,customer,shipping status: out for delivery,shipping status out for delivery,shipping status out for delivery,258,sure could i get your name
1139,all members get access to a holiday party. bronze members get reduced shipping and promos. silver members get precious perks and can have customer service make purchases for them. gold gets all that and unlimited refunds.,storewide_query,membership_1,customer,silver,silver,silver,51,all members get access to a holiday party bronze members get reduced shipping and promos silver members get precious perks and can have customer service make purchases for them gold gets all that and unlimited refunds
1140,is there anything else i can help you with?,storewide_query,membership_1,customer,<amount>,amount,amount,276,is there anything else i can help you with
1141,have a good day!,storewide_query,membership_1,customer,thank you so much,thank you so much,thank you so much,54,have a good day
1142,hello,product_defect,return_size,customer,"nope, thank you!",nope thank you,nope thank you,37,hello
1143,how can i help you?,product_defect,return_size,customer,have a good day,have a good day,have a good day,322,how can i help you
1144,ok and are you trying to order from the website?,product_defect,return_size,customer,hello,hello,hello,23,ok and are you trying to order from the website
1145,"oh ok, i will be glad to help you with that.",product_defect,return_size,customer,chloe zhang in need of your services,chloe zhang in need of your services,chloe zhang in need of your services,340,oh ok i will be glad to help you with that
1146,could i have your full name or account id?,product_defect,return_size,customer,i want to return a jacket,i want to return a jacket,i want to return a jacket,397,could i have your full name or account id
1147,what is wrong with the original pair of pants?,product_defect,return_size,customer,its the wrong size,its the wrong size,its the wrong size,285,what is wrong with the original pair of pants
1148,"ok, could i have your username, email address, and order id?",product_defect,return_size,customer,and also has a stain,and also has a stain,and also has a stain,151,ok could i have your username email address and order id
1149,also your membership status?,product_defect,return_size,customer,email address: <email>,email address email,email address email,1,also your membership status
1150,could i get your membership status?,product_defect,return_size,customer,username: <username>,username username,username username,6,could i get your membership status
1151,hello,product_defect,return_size,customer,order id: <order_id>,order id order_id,order id order_id,124,hello
1152,are you still there?,product_defect,return_size,customer,guest,guest,guest,128,are you still there
1153,when was the purchase bought?,product_defect,return_size,customer,i made it on the 17th of february,i made it on the th of february,i made it on the th of february,409,when was the purchase bought
1154,"it has been more than 90 days, so we will be unable to process this return.",product_defect,return_size,customer,i wanted to retunr it sooner but with the whole covid19 issue it has been hard,i wanted to retunr it sooner but with the whole covid19 issue it has been hard,i wanted to retunr it sooner but with the whole covid19 issue it has been hard,331,it has been more than days so we will be unable to process this return
1155,i am sorry that we cannot help you with this.,product_defect,return_size,customer,could you see if you can make an exception,could you see if you can make an exception,could you see if you can make an exception,178,i am sorry that we cannot help you with this
1156,is there something else i can help you with?,product_defect,return_size,customer,"thats too bad, you should really talk to management about making this window bigger during the emergency",thats too bad you should really talk to management about making this window bigger during the emergency,thats too bad you should really talk to management about making this window bigger during the emergency,331,is there something else i can help you with
1157,hello,product_defect,return_size,customer,but i understand its not your fault,but i understand its not your fault,but i understand its not your fault,228,hello
1158,are you still there?,product_defect,return_size,customer,that would be it,that would be it,that would be it,102,are you still there
1159,hello,product_defect,return_size,customer,thanks,thanks,thanks,41,hello
1160,the chat will be disconnect after a period of inaction.,product_defect,return_size,customer,"i was looking at some <name> yesterday and went i went to try to buy them today, the price was higher than it was yesterday.",i was looking at some name yesterday and went i went to try to buy them today the price was higher than it was yesterday,i was looking at some name yesterday and went i went to try to buy them today the price was higher than it was yesterday,83,the chat will be disconnect after a period of inaction
1161,hello,product_defect,return_size,customer,joyce wu,joyce wu,joyce wu,40,hello
1162,hello there how can i help you today,manage_account,manage_change_name,customer,<account_id>  <order_id>,account_id order_id,account_id order_id,176,hello there how can i help you today
1163,"sure is, could i have your full name and account id plz",manage_account,manage_change_name,customer,so you aren't able to offer me the price they were yesterday?,so you arent able to offer me the price they were yesterday,so you arent able to offer me the price they were yesterday,370,sure is could i have your full name and account id plz
1164,"okay i just need a couple more things before i can change the account name,",manage_account,manage_change_name,customer,"ok, i've made a note of that to apply it in the shopping cart.",ok ive made a note of that to apply it in the shopping cart,ok ive made a note of that to apply it in the shopping cart,121,okay i just need a couple more things before i can change the account name
1165,could you give me the zip code on the account and the email,manage_account,manage_change_name,customer,that is all i needed.,that is all i needed,that is all i needed,99,could you give me the zip code on the account and the email
1166,or the telephone number/pin number,manage_account,manage_change_name,customer,hi. i've been trying to place an order but my credit card keeps getting rejected.,hi ive been trying to place an order but my credit card keeps getting rejected,hi ive been trying to place an order but my credit card keeps getting rejected,15,or the telephone number pin number
1167,okay got it,manage_account,manage_change_name,customer,can you tell me why?,can you tell me why,can you tell me why,308,okay got it
1168,and what would you like your new accoutn name to be,manage_account,manage_change_name,customer,let me check and see.,let me check and see,let me check and see,288,and what would you like your new accoutn name to be
1169,"okay i have updated it, is that all you need?",manage_account,manage_change_name,customer,"it's saved on my web form, and it looks like all my information is correct there.",its saved on my web form and it looks like all my information is correct there,its saved on my web form and it looks like all my information is correct there,192,okay i have updated it is that all you need
1170,"okay, have a nice day",manage_account,manage_change_name,customer,"okay, i'll do that.",okay ill do that,okay ill do that,135,okay have a nice day
1171,"hello, how can i help you?",shipping_issue,missing,customer,it's still not accepting it.,its still not accepting it,its still not accepting it,114,hello how can i help you
1172,"how many days has it been, sir/mam?",shipping_issue,missing,customer,let me see.,let me see,let me see,288,how many days has it been sir mam
1173,okay i have found your account .,shipping_issue,missing,customer,"oh, you're right! the card's expired :(",oh youre right the cards expired,oh youre right the cards expired,291,okay i have found your account 
1174,"can i get your username, email and order id please.",shipping_issue,missing,customer,thanks for your help. i'll get in touch with the card company and get a new one.,thanks for your help ill get in touch with the card company and get a new one,thanks for your help ill get in touch with the card company and get a new one,217,can i get your username email and order id please
1175,i need to look up this purchase.,shipping_issue,missing,customer,"no, that's all i needed today. thanks again.",no thats all i needed today thanks again,no thats all i needed today thanks again,368,i need to look up this purchase
1176,"great, it seems like the package is in transit. it typically takes 7 days or less to reach their destination. and if it had been marked delivered it could be a mistake! please come back if it has not gotten to you after 7 days.",shipping_issue,missing,customer,you too!,you too,you too,30,great it seems like the package is in transit it typically takes days or less to reach their destination and if it had been marked delivered it could be a mistake please come back if it has not gotten to you after days
1177,do you need anymore help?,shipping_issue,missing,customer,hi! i am thinking about getting the boots on sale today. can i ask some questions?,hi i am thinking about getting the boots on sale today can i ask some questions,hi i am thinking about getting the boots on sale today can i ask some questions,19,do you need anymore help
1178,have a great day.,shipping_issue,missing,customer,is it real leather?,is it real leather,is it real leather,256,have a great day
1179,hello! how cna i help you today?,troubleshoot_site,slow_speed,customer,does it fit true to its size?,does it fit true to its size,does it fit true to its size,213,hello how cna i help you today
1180,oh i'm sorry!,troubleshoot_site,slow_speed,customer,thanks,thanks,thanks,41,oh im sorry
1181,can you plesae try logging out and logging back in?,troubleshoot_site,slow_speed,customer,ok. good to know,ok good to know,ok good to know,341,can you plesae try logging out and logging back in
1182,"in the meantime, i will write up a report to the website team to fix slow speeds",troubleshoot_site,slow_speed,customer,thank you,thank you,thank you,2,in the meantime i will write up a report to the website team to fix slow speeds
1183,i'm sorry!,troubleshoot_site,slow_speed,customer,that's all,thats all,thats all,75,im sorry
1184,can you try going to another website to see if that one is slow as well,troubleshoot_site,slow_speed,customer,have a great day,have a great day,have a great day,49,can you try going to another website to see if that one is slow as well
1185,is the other site slow as well?,troubleshoot_site,slow_speed,customer,hey i feel like the shipping was too high on my order.  can you check on that for me?,hey i feel like the shipping was too high on my order can you check on that for me,hey i feel like the shipping was too high on my order can you check on that for me,57,is the other site slow as well
1186,okay great,troubleshoot_site,slow_speed,customer,i'd like to cancel the order and get a refund.,id like to cancel the order and get a refund,id like to cancel the order and get a refund,190,okay great
1187,can i help you with anything else?,troubleshoot_site,slow_speed,customer,norman bouchard,norman bouchard,norman bouchard,36,can i help you with anything else
1188,"hello and welcome to acmecorp, how can i help you today?",single_item_query,jeans_other_1,customer,<username>,username,username,305,hello and welcome to acmecorp how can i help you today
1189,"yes sure, what product would you like to know more about?",single_item_query,jeans_other_1,customer,email address: <email>,email address email,email address email,1,yes sure what product would you like to know more about
1190,and what would you like to know about the michael kors jeans?,single_item_query,jeans_other_1,customer,order id: <order_id>,order id order_id,order id order_id,124,and what would you like to know about the michael kors jeans
1191,"with proper care, they should not shrink.  just remember to fold them inside out when you're washing them to avoid fading.  only wash them in cold water.  also, you should hang them dry for them to last the longest, but you can use your regular dryer",single_item_query,jeans_other_1,customer,"sorry, kids are home - crazy times",sorry kids are home   crazy times,sorry kids are home   crazy times,120,with proper care they should not shrink just remember to fold them inside out when youre washing them to avoid fading only wash them in cold water also you should hang them dry for them to last the longest but you can use your regular dryer
1192,"you're welcome, is there anything else i can help you with today?",single_item_query,jeans_other_1,customer,shipping status: in transit,shipping status in transit,shipping status in transit,258,youre welcome is there anything else i can help you with today
1193,"if not, then i hope you have a wonderful rest of the day!",single_item_query,jeans_other_1,customer,yes please,yes please,yes please,117,if not then i hope you have a wonderful rest of the day
1194,hello,product_defect,return_size,customer,thanks that's all.have a nice day!,thanks thats allhave a nice day,thanks thats allhave a nice day,49,hello
1195,how may i help you today?,product_defect,return_size,customer,i am a gold level member and was wandering if my account included free international shipping?,i am a gold level member and was wandering if my account included free international shipping,i am a gold level member and was wandering if my account included free international shipping,103,how may i help you today
1196,"okay, what's your name?",product_defect,return_size,customer,david williams,david williams,david williams,44,okay whats your name
1197,"can i have your username, email and order id?",product_defect,return_size,customer,thank you so much!,thank you so much,thank you so much,54,can i have your username email and order id
1198,what's your membership level?,product_defect,return_size,customer,that is all for today,that is all for today,that is all for today,320,whats your membership level
1199,"okay, i will need your full address to put on your shipping label",product_defect,return_size,customer,i was curious about my premium account and whether it included international shipping,i was curious about my premium account and whether it included international shipping,i was curious about my premium account and whether it included international shipping,332,okay i will need your full address to put on your shipping label
1200,"would you like to return by mail, in person, or at a drop off center?",product_defect,return_size,customer,david williams,david williams,david williams,44,would you like to return by mail in person or at a drop off center
1201,"ok, you should get that shipping label soon.",product_defect,return_size,customer,thanks,thanks,thanks,41,ok you should get that shipping label soon
1202,as soon as you return the item we can get a credit added onto your account.,product_defect,return_size,customer,no that was all,no that was all,no that was all,244,as soon as you return the item we can get a credit added onto your account
1203,is there anything else i can help with?,product_defect,return_size,customer,"hi. i recently completed a return,but my billing statement does not show that the charge has been reversed.",hi i recently completed a returnbut my billing statement does not show that the charge has been reversed,hi i recently completed a returnbut my billing statement does not show that the charge has been reversed,421,is there anything else i can help with
1204,"okay, have a great day",product_defect,return_size,customer,"yes, my name joyce wu",yes my name joyce wu,yes my name joyce wu,399,okay have a great day
1205,hi! how may i assist you today?,order_issue,manage_cancel,customer,that is correct.,that is correct,that is correct,352,hi how may i assist you today
1206,"okay, may i have your full name?",order_issue,manage_cancel,customer,thanks,thanks,thanks,41,okay may i have your full name
1207,thank you. may i also have your account id and order id?,order_issue,manage_cancel,customer,okay. i will try that.,okay i will try that,okay i will try that,282,thank you may i also have your account id and order id
1208,"great! and just to verify, you ordered two items but only actually want one, correct?",order_issue,manage_cancel,customer,"no, it looks like that worked! thanks!",no it looks like that worked thanks,no it looks like that worked thanks,360,great and just to verify you ordered two items but only actually want one correct
1209,okay. can you check your email and see what the shipping status of your order is?,order_issue,manage_cancel,customer,when does the local stores close?,when does the local stores close,when does the local stores close,115,okay can you check your email and see what the shipping status of your order is
1210,what is your membership level?,order_issue,manage_cancel,customer,ok,ok,ok,52,what is your membership level
1211,"great! that means i can give you a refund immediately. once your order arrives, call us back to get a shipping label to return it.",order_issue,manage_cancel,customer,no,no,no,167,great that means i can give you a refund immediately once your order arrives call us back to get a shipping label to return it
1212,how much was the item that you want to return?,order_issue,manage_cancel,customer,hello! i cannot login in to my account because i seem to have forgotten my password,hello i cannot login in to my account because i seem to have forgotten my password,hello i cannot login in to my account because i seem to have forgotten my password,80,how much was the item that you want to return
1213,no problem! your refund has been processed. is there anything else you need?,order_issue,manage_cancel,customer,yes please,yes please,yes please,117,no problem your refund has been processed is there anything else you need
1214,you're welcome!,order_issue,manage_cancel,customer,my name is chloe zhang,my name is chloe zhang,my name is chloe zhang,340,youre welcome
1215,how can i help you?,product_defect,return_stain,customer,<username>,username,username,305,how can i help you
1216,is there something wrong with the jacket?,product_defect,return_stain,customer,"okay, that's fine",okay thats fine,okay thats fine,204,is there something wrong with the jacket
1217,"okay, what is your username, email address and order number?",product_defect,return_stain,customer,i know my pin,i know my pin,i know my pin,64,okay what is your username email address and order number
1218,what is your membership level?,product_defect,return_stain,customer,<pin_number>,pin_number,pin_number,173,what is your membership level
1219,when did you make this purchase?,product_defect,return_stain,customer,"thank you, that worked to login!",thank you that worked to login,thank you that worked to login,14,when did you make this purchase
1220,i'm sorry but the return window is 30 days.,product_defect,return_stain,customer,hello.,hello,hello,23,im sorry but the return window is days
1221,"sorry, i'm not able to return it. is there anything else i can help you with?",product_defect,return_stain,customer,i am looking to see why there is an extra fee on my order,i am looking to see why there is an extra fee on my order,i am looking to see why there is an extra fee on my order,287,sorry im not able to return it is there anything else i can help you with
1222,"hello, how may i help you?",purchase_dispute,bad_price_yesterday,customer,i believe so. i can't figure out what it is for,i believe so i cant figure out what it is for,i believe so i cant figure out what it is for,166,hello how may i help you
1223,"sorry, i can look into that. could i get your name, please?",purchase_dispute,bad_price_yesterday,customer,david williams,david williams,david williams,44,sorry i can look into that could i get your name please
1224,"thanks, joyce.",purchase_dispute,bad_price_yesterday,customer,<account_id>,account_id,account_id,176,thanks joyce
1225,i'll also need your account and order id.,purchase_dispute,bad_price_yesterday,customer,<order_id>,order_id,order_id,3,ill also need your account and order id
1226,our prices dynamically change based on an algorithm and there is generally nothing we can do.,purchase_dispute,bad_price_yesterday,customer,gold,gold,gold,69,our prices dynamically change based on an algorithm and there is generally nothing we can do
1227,i can give you a promo code to bring the price down to that level.,purchase_dispute,bad_price_yesterday,customer,$5,5,5,10,i can give you a promo code to bring the price down to that level
1228,the promo code lggtz,purchase_dispute,bad_price_yesterday,customer,no. thank you for your help!,no thank you for your help,no thank you for your help,402,the promo code lggtz
1229,is there anything else i can do for you?,purchase_dispute,bad_price_yesterday,customer,hi! i have a question about my account. i recently joined your service but i can't seem to find out if my account has international shipping. can you help me with that?,hi i have a question about my account i recently joined your service but i cant seem to find out if my account has international shipping can you help me with that,hi i have a question about my account i recently joined your service but i cant seem to find out if my account has international shipping can you help me with that,245,is there anything else i can do for you
1230,have a great day!,purchase_dispute,bad_price_yesterday,customer,sure. it is joyce wu.,sure it is joyce wu,sure it is joyce wu,40,have a great day
1231,"hello, thank you for contacting us today. how may i help you?",troubleshoot_site,credit_card,customer,oh great!,oh great,oh great,31,hello thank you for contacting us today how may i help you
1232,oh that's unfortunate to hear. lets see if i can help solve the issue,troubleshoot_site,credit_card,customer,great. thank you so much! that's all i needed today.,great thank you so much thats all i needed today,great thank you so much thats all i needed today,46,oh thats unfortunate to hear lets see if i can help solve the issue
1233,let's try a few things to see if we can get it working. there's a few things that could be happening,troubleshoot_site,credit_card,customer,hi. i was recently given a refund and would like to check the status of it.,hi i was recently given a refund and would like to check the status of it,hi i was recently given a refund and would like to check the status of it,412,lets try a few things to see if we can get it working theres a few things that could be happening
1234,first could you see if there might have been a typo when entering in the card information?,troubleshoot_site,credit_card,customer,rodriguez domingo,rodriguez domingo,rodriguez domingo,29,first could you see if there might have been a typo when entering in the card information
1235,okay no proble. next try logging in and out to see if that clears up anything.,troubleshoot_site,credit_card,customer,just a status update,just a status update,just a status update,288,okay no proble next try logging in and out to see if that clears up anything
1236,"alright, could you double check the expiration date for me, sometimes it's easy to over look that.",troubleshoot_site,credit_card,customer,<username>,username,username,305,alright could you double check the expiration date for me sometimes its easy to over look that
1237,i'm sorry to hear that but glad we were able to figure out what the issue was.,troubleshoot_site,credit_card,customer,<email>,email,email,43,im sorry to hear that but glad we were able to figure out what the issue was
1238,not a problem and i hope they get the card out to you soon. was there anything else i could help with?,troubleshoot_site,credit_card,customer,<order_id>,order_id,order_id,3,not a problem and i hope they get the card out to you soon was there anything else i could help with
1239,thank's for shopping with us. have a great day!,troubleshoot_site,credit_card,customer,okay. does it say what payment method it will be applied to?,okay does it say what payment method it will be applied to,okay does it say what payment method it will be applied to,26,thanks for shopping with us have a great day
